CD_MUN,NM_MUN,eligible_area_ha_mapbiomas,urgency_5yr_index,reversal_risk,cost_per_ha,biodiversity_priority_index,Extinction risk score norm,carbon index norm
1500206,Acará,132132.29237042283,0.0283796495239374,0.5,2071.2526589595377,0.2085699511554496,0.2058823529411765,0.5403181049617559
1505007,Nova Timboteua,26986.23676329227,0.0031313624846841,0.0,2053.6312716763005,0.0182126718488511,0.0,0.5255856729396275
1505064,Novo Repartimento,838529.8735746134,0.3915814633916817,1.0,2107.284450867052,0.175387480176091,0.24509803921568635,0.5221538901923043
1505908,Porto de Moz,99581.56213035612,0.0653748934571078,0.2,2345.5676878612717,0.1069039467756433,0.07352941176470587,0.544651338395991
1502004,Cachoeira do Arari,2945.387974534315,0.0061553491455773,0.0,2137.5301156069363,0.0384432636515175,0.0,0.6229829962148415
1504604,Mocajuba,11954.453428963148,0.0095064462989829,0.0,2079.9318497109825,0.0118756143327658,0.0,0.40423775221120484
1503309,Igarapé-Miri,5448.670739613211,0.0043232558953054,0.0,2077.5647976878613,0.0084992477979291,0.0,0.5637355186242656
1507706,São Sebastião da Boa Vista,205.13480909206703,0.0001846710426688,0.0,2304.538786127167,0.0041937289331696,0.0,0.5869276304913098
1506401,Santa Cruz do Arari,111.0241243052132,0.0,0.0,2296.385606936416,0.0012846107015077,0.0,0.2527639538708638
1507755,Sapucaia,112398.61630283605,0.0018445640900755,0.0,2070.2006358381504,0.0038781350483251,0.0,0.6015112380121626
1500701,Anajás,353.30514821451084,0.0003368759936937,0.0,2280.079248554913,0.0841256821377615,0.04901960784313726,0.44854007381821026
1505106,Óbidos,129768.44902354469,0.0591883880680667,0.4,2685.634161849711,0.4610465998931983,0.13235294117647062,0.5146545132424806
1502509,Chaves,1755.6759337596156,0.0030101062189311,0.0,2215.511329479769,0.0447375787901112,0.0,0.5960192913098848
1507300,São Félix do Xingu,1995843.49982932,0.9608861301813147,1.0,2279.55323699422,0.4340786381898237,0.5,0.39389689744930667
1506005,Prainha,173675.47168611322,0.1030682588673615,0.6,2257.98676300578,0.0571745806464508,0.0,1.0
1508407,Xinguara,319798.83437819383,0.0104245638503052,0.0,2074.4087283236995,0.1056194254419243,0.0,0.5325169250533905
1501204,Baião,87897.33725487374,0.0336035692865101,0.1,2078.353815028902,0.0094157340219672,0.0,0.6293971253212893
1501253,Bannach,197188.97395301636,0.0139212055623018,0.0,2107.021445086705,0.0406581076996003,0.0,0.43833221310911413
1503804,Jacundá,128231.04483583564,0.0314879218738723,0.0,2067.044566473988,0.004679765588649,0.0,0.5199602295314526
1506906,Santarém Novo,7724.708739481135,0.0004589787501341,0.0,2061.2584393063585,0.0016425312882851,0.0,0.5592936306459808
1503002,Faro,13258.624621943309,0.0092394894761144,0.0,2769.27,0.0219462919420556,0.0,0.5249515914404145
1503044,Floresta do Araguaia,237337.40515194277,0.0604218925957979,0.2,2092.0301156069363,0.0069229470745534,0.0,
1503077,Garrafão do Norte,96474.60824515566,0.0345831177209465,0.2,2086.77,0.0006865851251642,0.0,0.5723269022414558
1503093,Goianésia do Pará,339041.3476660502,0.1200037131179697,0.8,2084.928959537572,0.0435520487781843,0.02450980392156863,0.8098869268117037
1500800,Ananindeua,7105.093834273377,0.0002925383202833,0.0,2043.900057803468,0.0929388367568923,0.10784313725490198,0.5390424217675086
1505601,Peixe-Boi,23770.39380064851,0.0021986969822356,0.0,2055.735317919075,0.0182138033572512,0.02450980392156863,0.5635315125243368
1505650,Placas,242042.4265244768,0.170593217807507,1.0,2121.2237572254335,0.006412638203105,0.02450980392156863,0.5058682515564862
1504307,Maracanã,16613.921197690357,0.0061150204903353,0.0,2060.995433526012,0.0437526155107078,0.014705882352941176,0.8102077829938807
1507409,São Francisco do Pará,30791.28062839749,0.002467759677877,0.0,2046.5301156069363,0.0136858510596354,0.009803921568627453,0.5759037888146747
1506104,Primavera,8218.700138386208,0.0009374232922391,0.0,2058.62838150289,0.0076713569378639,0.02450980392156863,0.5934959282591685
